Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2014,EN_REF_WASCOL,KE_NBO,CITY,PT,44.0
2016,EN_REF_WASCOL,KE_NBO,CITY,PT,56.6
2017,EN_REF_WASCOL,KE_NBO,CITY,PT,53.6
2018,EN_REF_WASCOL,KE_NBO,CITY,PT,57.4
2019,EN_REF_WASCOL,KE_NBO,CITY,PT,75.2
2020,EN_REF_WASCOL,KE_NBO,CITY,PT,75.2
2021,EN_REF_WASCOL,KE_NBO,CITY,PT,76.7
2022,EN_REF_WASCOL,KE_NBO,CITY,PT,74.3
2023,EN_REF_WASCOL,KE_NBO,CITY,PT,86.0
2024,EN_REF_WASCOL,KE_NBO,CITY,PT,44.7
2017,EN_REF_WASCOL,KE_MBA,CITY,PT,25.1
2018,EN_REF_WASCOL,KE_MBA,CITY,PT,56.0
2019,EN_REF_WASCOL,KE_MBA,CITY,PT,46.1
2020,EN_REF_WASCOL,KE_MBA,CITY,PT,46.0
2021,EN_REF_WASCOL,KE_MBA,CITY,PT,56.5
2022,EN_REF_WASCOL,KE_MBA,CITY,PT,65.0
2023,EN_REF_WASCOL,KE_MBA,CITY,PT,58.3
2024,EN_REF_WASCOL,KE_MBA,CITY,PT,62.1
2017,EN_REF_WASCOL,KE_KIS,CITY,PT,30.0
2018,EN_REF_WASCOL,KE_KIS,CITY,PT,30.0
2019,EN_REF_WASCOL,KE_KIS,CITY,PT,30.0
2020,EN_REF_WASCOL,KE_KIS,CITY,PT,30.0
2021,EN_REF_WASCOL,KE_KIS,CITY,PT,30.0
2022,EN_REF_WASCOL,KE_KIS,CITY,PT,30.1
2023,EN_REF_WASCOL,KE_KIS,CITY,PT,30.0
2024,EN_REF_WASCOL,KE_KIS,CITY,PT,29.3
2022,EN_REF_WASCOL,KE_NUU,CITY,PT,60.0
2023,EN_REF_WASCOL,KE_NUU,CITY,PT,60.0
2024,EN_REF_WASCOL,KE_NUU,CITY,PT,59.3
